blog_post_url	source	views	registration	conversion
https://blog.bookly.com/learning/courses/editing/novel-revision-understanding-craft/	blog_post_url	21.0	21.0	100.0
https://blog.bookly.com/learning/courses/writing/short-story/submitting-your-work/	blog_post_url	21.0	21.0	100.0
https://blog.bookly.com/learning/courses/writing/3-act-story-structure//	blog_post_url	21.0	21.0	100.0
https://blog.bookly.com/learning/courses/distribution/	blog_post_url	35.0	21.0	60.0
https://blog.bookly.com/learning/courses/marketing/growing-influence-non-fiction-platform/	blog_post_url	35.0	21.0	60.0
https://blog.bookly.com/manuscript-format//	blog_post_url	161.0	91.0	56.52173913043478
https://blog.bookly.com/writing-contests/page/3//	blog_post_url	42.0	21.0	50.0
https://blog.bookly.com/book-cover-makers//	blog_post_url	91.0	42.0	46.15384615384615
https://blog.bookly.com/writing-publishing-resources/	blog_post_url	56.0	21.0	37.5
https://blog.bookly.com/character-motivation//	blog_post_url	56.0	21.0	37.5
https://blog.bookly.com/best-self-publishing-companies//	blog_post_url	56.0	21.0	37.5
https://blog.bookly.com/self-publishing-a-family-memoir/	blog_post_url	56.0	21.0	37.5
https://blog.bookly.com/learning/courses/marketing/author-blog/	blog_post_url	56.0	21.0	37.5
https://blog.bookly.com/learning/courses/publishing/inside-a-big-5-publisher/	blog_post_url	56.0	21.0	37.5
https://blog.bookly.com/character-development//	blog_post_url	574.0	196.0	34.146341463414636
https://blog.bookly.com/learning/courses/writing/	blog_post_url	273.0	91.0	33.33333333333333
https://blog.bookly.com/10-exercises-to-become-a-better-writer/	blog_post_url	140.0	42.0	30.0
https://blog.bookly.com/live/amazon-popularity-list/	blog_post_url	70.0	21.0	30.0
https://blog.bookly.com/novlr/	blog_post_url	70.0	21.0	30.0
https://blog.bookly.com/how-to-start-writing-a-book/	blog_post_url	196.0	56.0	28.57142857142857
https://blog.bookly.com/how-to-publish-on-apple-books/	blog_post_url	126.0	35.0	27.77777777777778
https://blog.bookly.com/learning/courses/design/book-design-101/	blog_post_url	126.0	35.0	27.77777777777778
https://blog.bookly.com/cost-professional-author-website/	blog_post_url	77.0	21.0	27.27272727272727
https://blog.bookly.com/work-with-a-ghostwriter/	blog_post_url	77.0	21.0	27.27272727272727
https://blog.bookly.com/creative-writing-prompts/contests/41/	blog_post_url	77.0	21.0	27.27272727272727
https://blog.bookly.com/creative-writing-prompts/mystery/page/2/	blog_post_url	77.0	21.0	27.27272727272727
https://blog.bookly.com/how-to-write-a-book-proposal//	blog_post_url	868.0	203.0	23.387096774193548
https://blog.bookly.com/learning/courses/writing/writing-dialogue/	blog_post_url	91.0	21.0	23.076923076923077
https://blog.bookly.com/writing-exercises/outlining/	blog_post_url	91.0	21.0	23.076923076923077
https://blog.bookly.com/novel-writing-software//	blog_post_url	98.0	21.0	21.428571428571427
https://blog.bookly.com/largest-book-publishers//	blog_post_url	196.0	42.0	21.428571428571427
https://blog.bookly.com/author-websites-tips/	blog_post_url	273.0	56.0	20.51282051282051
